LA,LS,HR,Predicted,Z,Model_Season,Predict_Season
"(15,20]","(100,105]",15,66.71742696312175,-6.33165532686647,2017,2021
"(15,20]","(105,110]",127,248.01901920868187,-7.68442074963216,2017,2021
"(15,20]","(110,115]",79,124.64364199304461,-4.0883232357388,2017,2021
"(20,25]","(90,95]",3,14.793517703022905,-3.0662505238415565,2017,2021
"(20,25]","(95,100]",81,155.14183628179978,-5.9524927388912605,2017,2021
"(20,25]","(100,105]",501,784.8949262364623,-10.13332262716903,2017,2021
"(20,25]","(105,110]",683,843.5134224833366,-5.526693193971014,2017,2021
"(20,25]","(110,115]",211,211.06341283937408,-0.004364864049308104,2017,2021
"(25,30]","(90,95]",37,72.4339966938798,-4.163407458055156,2017,2021
"(25,30]","(95,100]",327,468.4069365635932,-6.533697973243248,2017,2021
"(25,30]","(100,105]",910,1079.234720274258,-5.151474015795495,2017,2021
"(25,30]","(105,110]",680,703.7370719997934,-0.8947916696551621,2017,2021
"(25,30]","(110,115]",144,142.37166208179227,0.13646860702647784,2017,2021
"(30,35]","(90,95]",62,73.70580655265786,-1.3634853979897483,2017,2021
"(30,35]","(95,100]",263,391.2416195531762,-6.48345453991998,2017,2021
"(30,35]","(100,105]",618,717.4613128009066,-3.713256443191581,2017,2021
"(30,35]","(105,110]",408,409.19073419183206,-0.05886429257657117,2017,2021
"(30,35]","(110,115]",71,71.74637508916442,-0.08811648288527871,2017,2021
"(35,40]","(90,95]",22,31.837195161898475,-1.7434274824592688,2017,2021
"(35,40]","(95,100]",106,143.84344140117784,-3.155335843504001,2017,2021
"(35,40]","(100,105]",238,292.62691726923634,-3.193372322119143,2017,2021
"(35,40]","(105,110]",142,164.2879282280196,-1.7388690360802153,2017,2021
"(35,40]","(110,115]",21,19.38628439267878,0.36650483612849366,2017,2021
"(40,45]","(90,95]",1,4.5836178558186615,-1.673853676588951,2017,2021
"(40,45]","(95,100]",26,27.406538696084567,-0.26867334964605605,2017,2021
"(40,45]","(100,105]",49,55.81377372165909,-0.9120465677530862,2017,2021
"(40,45]","(105,110]",25,25.304319835057882,-0.06049687280583764,2017,2021
"(40,45]","(110,115]",5,3.0802496522324283,1.0938349514502477,2017,2021
"(15,20]","(90,95]",1,0.671316085945189,0.40115750645756076,2017,2022
"(15,20]","(95,100]",2,6.203427297613366,-1.6876706273156055,2017,2022
"(15,20]","(100,105]",13,67.70556820577788,-6.648433660916163,2017,2022
"(15,20]","(105,110]",93,234.85815516052867,-9.256599740904628,2017,2022
